名字,日期,总场次,废场,人次,上座率,票价
美人鱼,20160216,29819,2015,162.17万,30.19%,44.3
复仇者联盟3：无限战争,20180514,62879,77330,184.17万,20.18%,38.8
毒液：致命守护者,20181109,43033,81919,183.31万,26.38%,38.9
战狼2,20170813,37942,43761,189.74万,32.56%,37.5
异形：契约,20170618,55400,19901,219.16万,42.29%,32.3
夏洛特烦恼,20151011,25694,1013,176.51万,39.71%,39.9
中国机长,20191002,31437,78013,173.27万,44.18%,40.6
美人鱼,20160217,30778,1208,156.98万,28.49%,44.6
绣春刀：修罗战场,20170722,42344,6226,218.02万,36.05%,32.1
流浪地球,20190205,17954,30575,133.1万,58.48%,52.5
疯狂的外星人  2D,20190208,28673,64170,149.91万,38.4%,46.4
寻龙诀,20151226,16359,1247,144.01万,55.18%,48.3
唐人街探案,20160101,21970,0,177.7万,58.87%,39
绣春刀：修罗战场,20170723,43212,6164,217.05万,34.95%,31.9
美人鱼,20160221,21223,5813,151.41万,39.24%,45.6
新木乃伊,20170613,52455,26055,197.65万,39.91%,34.9
神奇女侠,20170607,45738,12119,191.43万,45.72%,36
蚁人2：黄蜂女现身,20180824,44980,58267,177.15万,24.5%,38.9
阿丽塔：战斗天使,20190223,44205,87046,162.34万,23.46%,42.4
速度与激情7,20150415,27697,1973,146.4万,32.56%,47
银河护卫队2,20170511,39700,11088,184.86万,44.82%,37
鬼吹灯之九层妖塔,20150930,22597,1118,153.54万,43.14%,44.4
前任3：再见前任,20180106,34706,51387,187.83万,40.46%,36.2
红海行动,20180220,23116,33184,159.25万,51.31%,42.7
007：幽灵党,20151113,28070,2067,168.29万,34.25%,40.4
加勒比海盗5：死无对证,20170531,51434,24171,190.5万,39.32%,35.7
绣春刀：修罗战场,20170720,51235,9316,220.54万,53.52%,30.7
哪吒之魔童降世,20190807,40662,72964,180.31万,31.07%,37.3
侏罗纪世界,20150614,18255,602,139.5万,42.96%,48.1
西游记女儿国,20180214,33240,45656,164.18万,33.5%,40.8
我不是药神,20180706,43575,88919,182.48万,28.14%,36.6
碟中谍6：全面瓦解,20180902,43855,53471,166.03万,24.66%,40.2
西虹市首富,20180731,48273,46821,188.17万,27.82%,35.4
寻龙诀,20151221,35146,1763,143.04万,24.35%,46.5
蚁人,20151018,25371,1564,138.46万,30.01%,47.9
鬼吹灯之九层妖塔,20151001,22008,1612,144.92万,40.18%,45.8
速度与激情：特别行动,20190824,51410,128079,164.09万,21.27%,40.3
蝙蝠侠大战超人：正义黎明,20160327,31012,2151,142.9万,26.7%,46.2
前任3：再见前任,20180107,37989,52941,181.84万,34.47%,36.2
007：幽灵党,20151115,29971,1385,159.95万,30.91%,41.2
悟空传,20170720,41028,7798,181.89万,51.67%,36.1
X战警：天启,20160603,33627,2894,143.29万,24.85%,45.8
我不是药神,20180714,41153,60028,181.56万,32.54%,36.1
火星救援,20151128,21019,1496,132.49万,34.06%,49.5
盗墓笔记,20160809,29561,2046,149.14万,28.86%,44
红海行动,20180223,27093,39564,159.67万,40.2%,41
惊奇队长,20190310,52672,101519,158.65万,18.84%,41.3
功夫熊猫3,20160129,38535,3467,141.73万,20.97%,46.1
复仇者联盟2：奥创纪元,20150513,28110,1738,132.07万,28.72%,49.2
蚁人,20151016,26228,2304,136.93万,28.69%,47.4
